■ 성남시 아동수당 지원 가능 가맹점 ,,,,,,
,,,(2018년 7월 기준),,,
소재지,가맹점번호,가맹점명,세부주소,,,
성남시분당구,0007601412,금호종합메리야스,경기  성남시  분당구  수내동,,,
성남시분당구,0007693930,정가네,"경기 성남시 분당구 야탑남로 230,",,,
성남시분당구,0007701055,성남농협정자지소,경기 성남시 분당구 느티로 73,,,
성남시분당구,0007701089,후리지아,"경기 성남시 분당구 분당로53번길 14,",,,
성남시분당구,0007714264,월드카샵,"경기 성남시 분당구 분당로263번길 13,",,,
성남시분당구,0007761448,(주)맛독,"경기 성남시 분당구 야탑남로 230,",,,
성남시분당구,0007781586,안경마을,"경기 성남시 분당구 돌마로 73,",,,
성남시분당구,0007799075,한솔마트,경기  성남시  분당구  정자동,,,
성남시분당구,0007864234,헬스타운,경기 성남시 분당구 대왕판교로 31,,,
성남시분당구,0007869837,다연서점,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0007889686,건영카센타,경기 성남시 분당구 분당로311번길 15,,,
성남시분당구,0007952658,백동훈치과의원,"경기 성남시 분당구 성남대로 926,",,,
성남시분당구,0007980071,셈틀누리,"경기 성남시 분당구 정자일로 177,",,,
성남시분당구,0007987993,예성유통(주) 더카페(미금역분당프라자점),"경기 성남시 분당구 돌마로 68,",,,
성남시분당구,0008001745,토탈패션,경기 성남시 분당구 서현로429번길 12-6,,,
성남시분당구,0008077992,남영불갈비,경기 성남시 분당구 야탑로105번길 6,,,
성남시분당구,0008127607,이조설렁탕,경기 성남시 분당구 황새울로330번길 18,,,
성남시분당구,0008155632,카라꽃방,"경기 성남시 분당구 판교로 442,",,,
성남시분당구,0008155657,하얀치과의원,"경기 성남시 분당구 성남대로 170,",,,
성남시분당구,0008183154,다인치과,"경기 성남시 분당구 수내로 181,",,,
성남시분당구,0008194862,은혜화장품,경기  성남시  분당구  이매동,,,
성남시분당구,0008194870,하이나리,"경기 성남시 분당구 내정로166번길 42,",,,
성남시분당구,0008195406,다미만두,"경기 성남시 분당구 운중로 239,",,,
성남시분당구,0008201949,성남농협야탑역지점,경기  성남시  분당구  야탑동,,,
성남시분당구,0008227233,코리아제록스남부OA센타,"경기 성남시 분당구 야탑남로 230,",,,
성남시분당구,0008256265,세교물산,경기  성남시  분당구  수내동,,,
성남시분당구,0008285371,미조프라자,경기 성남시 분당구 야탑남로15번길 15,,,
성남시분당구,0008347015,남영,"경기 성남시 분당구 야탑로69번길 24-8,",,,
성남시분당구,0008347056,W.코끼리안경콘택트렌즈,"경기 성남시 분당구 내정로166번길 7-6,",,,
성남시분당구,0008373144,잠뱅이분당점,"경기 성남시 분당구 서현로210번길 10,",,,
성남시분당구,0008373169,전종관피부비뇨기과,"경기 성남시 분당구 돌마로 67,",,,
성남시분당구,0008408510,쌍동이카센타,경기 성남시 분당구 느티로77번길 3,,,
성남시분당구,0008420721,정금사,"경기 성남시 분당구 성남대로916번길 5,",,,
성남시분당구,0008432668,우영컴퓨터,"경기 성남시 분당구 불정로 362,",,,
성남시분당구,0008459570,에뛰드하우스 서현2호점,"경기 성남시 분당구 분당로53번길 21,",,,
성남시분당구,0008550220,천하대장군,경기  성남시  분당구  분당동,,,
성남시분당구,0008581506,마니주,경기  성남시  분당구  수내동,,,
성남시분당구,0008581514,영보석,"경기 성남시 분당구 돌마로 361,",,,
성남시분당구,0008589269,금산골프,"경기 성남시 분당구 내정로166번길 43,",,,
성남시분당구,0008596140,옵티마  우리들  약국,"경기 성남시 분당구 운중로 140,",,,
성남시분당구,0008953226,안경모치과의원,"경기 성남시 분당구 돌마로 364,",,,
성남시분당구,0008957912,카피어OA랜드,경기 성남시 분당구 백현로144번길 9-4,,,
성남시분당구,0008981623,로얄골프클럽,경기  성남시  분당구  수내동,,,
성남시분당구,0009049586,옛날집,경기 성남시 분당구 불곡로3번길 4,,,
성남시분당구,0009049644,CAC뷰티클럽,"경기 성남시 분당구 내정로 185,",,,
성남시분당구,0009064478,밀리갤러리,"경기 성남시 분당구 돌마로 361,",,,
성남시분당구,0009072695,잡탱이,"경기 성남시 분당구 미금일로90번길 32,",,,
성남시분당구,0009094236,이가보석,"경기 성남시 분당구 미금로 45,",,,
성남시분당구,0009094269,최낙구치과의원,"경기 성남시 분당구 성남대로779번길 54,",,,
성남시분당구,0009094277,공원갈비랜드,경기 성남시 분당구 새나리로 6,,,
성남시분당구,0009094319,동암약국,"경기 성남시 분당구 황새울로342번길 11,",,,
성남시분당구,0009111691,대가설렁탕,"경기 성남시 분당구 구미로9번길 17,",,,
성남시분당구,0009282575,태평양아모레,"경기 성남시 분당구 황새울로312번길 20,",,,
성남시분당구,0009317157,이안피부건강관리센타,"경기 성남시 분당구 정자일로 25,",,,
성남시분당구,0009345489,국제약품공업(주),경기 성남시 분당구 야탑로 96-8,,,
성남시분당구,0009375098,강남이엔지 주식회사,경기 성남시 분당구 장미로122번길 3-17,,,
성남시분당구,0009388653,(주)까사미아분당점,경기 성남시 분당구 황새울로 354,,,
성남시분당구,0009432147,(주)아빅스테크,"경기 성남시 분당구 황새울로351번길 10,",,,
성남시분당구,0009437328,조구치과의원,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0009442401,주)고려인삼창영,경기 성남시 분당구 야탑로139번길 6-18,,,
성남시분당구,0009479916,대경상사,경기 성남시 분당구 황새울로12번길 11-3,,,
성남시분당구,0009486119,키다리영어샵,"경기 성남시 분당구 황새울로342번길 11,",,,
성남시분당구,0009491002,본치과의원,"경기 성남시 분당구 성남대로 906,",,,
성남시분당구,0009491028,한마음치과의원,"경기 성남시 분당구 돌마로 86,",,,
성남시분당구,0009525791,관보종합화장품,"경기 성남시 분당구 성남대로916번길 5,",,,
성남시분당구,0009525817,금호건강원,"경기 성남시 분당구 내정로165번길 38,",,,
성남시분당구,0009566100,하티벨프라워,경기 성남시 분당구 돌마로 85,,,
성남시분당구,0009566621,금산카바디샵,"경기 성남시 분당구 내정로17번길 4-11,",,,
성남시분당구,0009591785,돔,경기 성남시 분당구 서현로429번길 18,,,
성남시분당구,0009605197,플라워,경기 성남시 분당구 불곡남로14번길 2,,,
성남시분당구,0009641309,눈친구안경원,"경기 성남시 분당구 분당로53번길 19,",,,
성남시분당구,0009649575,분당제생병원외래식당,"경기 성남시 분당구 서현로180번길 20,",,,
성남시분당구,0009662396,타이어프로(분당서현점),경기 성남시 분당구 돌마로 572,,,
성남시분당구,0009672379,서현치과의원,"경기 성남시 분당구 중앙공원로40번길 8,",,,
성남시분당구,0009702697,풍천민물장어,경기 성남시 분당구 서현로210번길 16,,,
성남시분당구,0009774985,어부와바다,경기 성남시 분당구 미금일로74번길 18,,,
성남시분당구,0009801754,하나치과,"경기 성남시 분당구 미금일로 71,",,,
성남시분당구,0009824863,붕붕카센타,경기  성남시  분당구  정자동,,,
성남시분당구,0009875204,제생의료기,경기  성남시  분당구  서현동,,,
성남시분당구,0009903717,분당상아치과위원,"경기 성남시 분당구 내정로 29,",,,
성남시분당구,0009920927,재단법인  케이티문화재단 분당센터,경기 성남시 분당구 불정로 90,,,
성남시분당구,0010027167,분당세란치과,"경기 성남시 분당구 돌마로476번길 31,",,,
성남시분당구,0010043008,한미음향,"경기 성남시 분당구 성남대로 926,",,,
성남시분당구,0010048502,닭한마리칼국수,경기 성남시 분당구 새마을로 6,,,
성남시분당구,0010063048,아진통신,경기  성남시  분당구  서현동,,,
성남시분당구,0010063683,고가,경기 성남시 분당구 새마을로51번길 5-1,,,
성남시분당구,0010091973,엘지자동차공업사,"경기 성남시 분당구 미금로33번길 26,",,,
성남시분당구,0010142578,서림약국,경기  성남시  분당구  판교로,,,
성남시분당구,0010173243,오서방콩가네,경기 성남시 분당구 구미로9번길 17,,,
성남시분당구,0010185197,손의명치과,"경기 성남시 분당구 정자로 13,",,,
성남시분당구,0010190981,(주)스타교육개발,"경기 성남시 분당구 정자일로 121,",,,
